,training,validation,test,full
start,2008-02-08,2019-01-02,2023-01-03,2008-02-08
end,2018-12-31,2022-12-30,2025-12-30,2025-12-30
n_periods,2743,1008,751,4502
years,10.884920634920634,4.0,2.9801587301587302,17.865079365079364
total_return,1.2160487094804213,0.5421870015517825,0.8212713133014558,5.224306747922677
cagr,0.07584187622298888,0.11438243884850263,0.22283930320123346,0.10776933779497644
ann_volatility,0.14987712818093366,0.15279978055432714,0.13652878959814224,0.1483993885297446
sharpe,0.5628388819661594,0.7854884353821064,1.541968253005853,0.7640777822901381
sortino,0.7869993990060129,1.0883336360905385,2.327519503470067,1.0768207192018018
max_drawdown,-0.26323457998284694,-0.2064556123174407,-0.13627286777512682,-0.26323457998284694
calmar,0.2881151717526282,0.55402920542858,1.6352433675128628,0.409404181631452
win_rate,0.5439300036456435,0.5565476190476191,0.5672436750998668,0.5506441581519325
skew,-0.22382436200363473,-0.5270696313030359,0.7157715123929008,-0.17979836165119611
kurtosis,3.625949383218731,2.4859141000320046,14.207169444206576,4.63632672485384
best_day,0.0647084800556985,0.031943033713419534,0.0860978743880696,0.0860978743880696
worst_day,-0.05054954696566702,-0.049454158381009417,-0.04773025397844774,-0.05054954696566702
var_95,-0.01586353316305941,-0.015498906365291297,-0.01289705095256323,-0.01540153840118974
cvar_95,-0.02270811942881973,-0.02339488938087288,-0.018795712810634524,-0.02230278176835665
underwater_days,544,,103,544
still_underwater,False,True,False,False
annual_turnover,4.658642076396714,4.597039659778577,4.186381412163569,4.56606922104572
beta,0.43154108967308197,0.41889282623410357,0.7501295180585298,0.4595099345203881
alpha,0.0419357743395947,0.05780473502751273,0.044291416490797375,0.053599178469745136
information_ratio,-0.08339690651209107,-0.16041306648721734,-0.13379559325199258,-0.10528783924221162
alpha_tstat,1.201942229269352,0.9693159350540954,1.1852745111540919,2.0558261789003125
alpha_pvalue,0.2294897424071724,0.33262056298014603,0.2362848423009391,0.03985683917580389
alpha_ci_low,-0.02647759491887721,-0.05921765848972841,-0.029067189876481953,0.0024855561676565235
alpha_ci_high,0.11034914359806677,0.17482712854475418,0.11765002285807666,0.10471280077183387
