,Momentum (top 3),SPY buy & hold,Equal weight (all),Random selection,"Momentum, zero cost","Momentum, T+6 exec"
alpha,0.0547282555833986,,-0.003713252553886306,-0.021784079659768137,0.05687379532454367,0.0375408861471019
ann_volatility,0.14898042882030782,0.19932565936584984,0.15785629127848688,0.18623610126507975,0.14901057616009464,0.1500147361032038
annual_turnover,4.328742780986229,0.0,0.0,15.822301199466903,4.328742780986229,4.384717903154153
best_day,0.08734717665800287,0.14519723612896485,0.09400699584689542,0.16085172396535963,0.08734717665800287,0.08734717665800287
beta,0.4689597161376507,,0.7349043136472134,0.7971069453127755,0.4691044460757322,0.4784093905756245
cagr,0.11028937990982657,0.11651972135150657,0.08266453885080294,0.06671358627228186,0.11268917946942847,0.09255215283561746
calmar,0.4213275777139137,0.22633330384069006,0.19104124531507485,0.13168533645056665,0.43090248707014056,0.32545330040384973
cvar_95,-0.02235575673691924,-0.0306457120256292,-0.02388755112595451,-0.027818309398066524,-0.0223483821056508,-0.022448313903138457
end,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30
information_ratio,-0.09149538061390118,,-0.48316957058253446,-0.4578479951294773,-0.0777170840793686,-0.19486406825260247
kurtosis,4.717388466264804,14.854932032587401,12.484882845948533,24.962084110468172,4.714188775461212,4.862458438272343
max_drawdown,-0.26176634462962767,-0.5148147416852169,-0.43270519261151386,-0.5066136296604706,-0.2615189813260126,-0.28437921115186415
n_periods,4502,4502,4502,4502,4502,4502
sharpe,0.7769296785170945,0.6527798995842065,0.5822346234502151,0.43993680510644007,0.7912974440989429,0.6651979773567093
skew,-0.1645640876047247,0.012648688878867699,-0.12739824878554118,0.16977624839530828,-0.16425384240035867,-0.12233399157406952
sortino,1.0968357127773416,0.9233889302566051,0.8248784590019225,0.6220498105954304,1.117883565604214,0.9392824494950924
start,2008-02-08,2008-02-08,2008-02-08,2008-02-08,2008-02-08,2008-02-08
still_underwater,False,False,False,False,False,False
total_return,5.482179668038556,6.1636937028874765,3.1327247489571306,2.170126899633244,5.737096581292149,3.8615252456318334
underwater_days,544,1072,857,901,544,665
var_95,-0.01535252028395225,-0.018435484673065113,-0.013841039746765467,-0.01635176912950562,-0.01535252028395225,-0.015469247850767772
win_rate,0.5501999111505997,0.5524211461572635,0.5466459351399378,0.5382052421146157,0.5506441581519325,0.543758329631275
worst_day,-0.05053804480290328,-0.10942361404972611,-0.08601176001989407,-0.12948232519086866,-0.05053804480290328,-0.05053804480290328
years,17.865079365079364,17.865079365079364,17.865079365079364,17.865079365079364,17.865079365079364,17.865079365079364
