metric,value,note
strategy_sharpe,0.776929,
benchmark_sharpe,0.65278,
sharpe_difference,0.124149,strategy minus benchmark
ci_low_95,-0.242929,stationary block bootstrap
ci_high_95,0.454709,stationary block bootstrap
bootstrap_se,0.179383,"SE of the difference, paired resampling"
p_value,0.4852,"two-sided, null of no difference"
block_length_days,17.0,mean geometric block length
n_resamples,5000.0,
p_value_block_1,0.533,"block-length robustness; CI [-0.272, +0.486]"
p_value_block_5,0.498,"block-length robustness; CI [-0.212, +0.470]"
p_value_block_10,0.477,"block-length robustness; CI [-0.228, +0.470]"
p_value_block_25,0.444,"block-length robustness; CI [-0.281, +0.447]"
p_value_block_40,0.474,"block-length robustness; CI [-0.243, +0.440]"
p_value_block_60,0.467,"block-length robustness; CI [-0.224, +0.430]"
p_value_block_90,0.458,"block-length robustness; CI [-0.214, +0.418]"
n_trials,192.0,sensitivity grid cells
noise_hurdle_sharpe,0.410169,expected best Sharpe from this many trials of pure noise
best_grid_sharpe,0.604785,training window
psr_vs_zero_full,0.99945,
deflated_sharpe_full,0.93831,
psr_vs_zero_training,0.969404,
deflated_sharpe_training,0.700381,same window as the grid; the like-for-like comparison
